city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cited_locations,resolution_methods,resolved_set_sizes,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
chicago,llama3.1:8b,23,591,pm_rush,medium,A,,"['SW of the Loop', 'SW of the Loop']","['exact_region', 'exact_region']","[41, 41]",1.0,0.25,0.4,0.0,1.0,2,8
chicago,llama3.1:8b,23,591,pm_rush,medium,B,,"['Circle Interchange', 'Dan Ryan Expressway']","['unresolved', 'unresolved']","[0, 0]",0.0,0.0,0.0,1.0,0.5,2,8
chicago,llama3.1:8b,23,591,pm_rush,medium,C,,"['Garfield Ridge / Clearing', 'Southwest Side / Midway', 'Ashburn / Auburn Gresham']","['exact_region', 'exact_region', 'exact_region']","[24, 60, 23]",1.0,0.625,0.7692307692307693,0.0,0.6,3,8
chicago,llama3.1:8b,27,847,pm_rush,medium,A,,"['The Loop / Downtown (segment 1040, 41.888, -87.619)', 'The Loop / Downtown (segment 1038, 41.888, -87.626)']","['exact_sensor', 'exact_sensor']","[1, 1]",1.0,0.25,0.4,0.0,1.0,2,8
chicago,llama3.1:8b,27,847,pm_rush,medium,B,,"['Circle Interchange', 'I-90/94/290']","['unresolved', 'unresolved']","[0, 0]",0.0,0.0,0.0,1.0,0.0,2,8
chicago,llama3.1:8b,27,847,pm_rush,medium,C,,"['The Loop / Downtown (segment 1040, 41.888, -87.619)', 'Near North Side (segment 1297, 41.892, -87.628)', 'The Loop / Downtown (segment 1038, 41.888, -87.626)']","['exact_sensor', 'exact_sensor', 'exact_sensor']","[1, 1, 1]",1.0,0.375,0.5454545454545454,0.0,0.3333333333333333,3,8
chicago,llama3.1:8b,22,975,pm_rush,medium,A,,"['Near North Side', 'Near West Side', 'NW of the Loop']","['exact_region', 'exact_region', 'exact_region']","[55, 37, 31]",1.0,0.625,0.7692307692307693,0.0,0.21428571428571427,3,8
chicago,llama3.1:8b,22,975,pm_rush,medium,B,,"['Soldier Field', 'Museum Campus']","['unresolved', 'unresolved']","[0, 0]",0.0,0.0,0.0,1.0,,2,8
chicago,llama3.1:8b,22,975,pm_rush,medium,C,,"['Near North Side', 'Near West Side']","['exact_region', 'exact_region']","[55, 37]",1.0,0.5,0.6666666666666666,0.0,0.6666666666666666,2,8
chicago,llama3.1:8b,21,975,pm_rush,medium,A,,"['NW of the Loop', 'Near North Side', 'Far South Side']","['exact_region', 'exact_region', 'exact_region']","[31, 55, 129]",1.0,0.75,0.8571428571428571,0.0,0.2857142857142857,3,8
chicago,llama3.1:8b,21,975,pm_rush,medium,B,,"['DuSable Lake Shore Drive (US-41)', 'Soldier Field', 'Museum Campus']","['unresolved', 'unresolved', 'unresolved']","[0, 0, 0]",0.0,0.0,0.0,1.0,,3,8
chicago,llama3.1:8b,21,975,pm_rush,medium,C,,"['Near North Side', 'Near West Side', 'Far South Side']","['exact_region', 'exact_region', 'exact_region']","[55, 37, 129]",1.0,0.875,0.9333333333333333,0.0,1.0,3,8
