city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cited_locations,resolution_methods,resolved_set_sizes,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
chicago,mistral:7b,23,591,pm_rush,medium,A,,"['SW of the Loop', 'SW of the Loop']","['exact_region', 'exact_region']","[41, 41]",1.0,0.25,0.4,0.0,0.75,2,8
chicago,mistral:7b,23,591,pm_rush,medium,B,,['I-290 (Eisenhower Expy)'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,27,847,pm_rush,medium,A,,"['The Loop / Downtown (segment 1038, 41.888, -87.626)', 'Near North Side (segment 1297, 41.892, -87.628)']","['exact_sensor', 'exact_sensor']","[1, 1]",1.0,0.25,0.4,0.0,0.42857142857142855,2,8
chicago,mistral:7b,27,847,pm_rush,medium,B,,"['I-90 Kennedy Expressway', 'I-94 Dan Ryan Expressway', 'I-55 Stevenson Expressway']","['unresolved', 'unresolved', 'unresolved']","[0, 0, 0]",0.0,0.0,0.0,1.0,0.0,3,8
chicago,mistral:7b,22,975,pm_rush,medium,A,,"['Near North Side (node_id 940)', 'Near West Side (node_id 974)']","['exact_region', 'exact_region']","[55, 37]",1.0,0.5,0.6666666666666666,0.0,,2,8
chicago,mistral:7b,22,975,pm_rush,medium,B,,"['DuSable Lake Shore Drive corridor', 'Soldier Field and North Ave Beach']","['unresolved', 'unresolved']","[0, 0]",0.0,0.0,0.0,1.0,0.0,2,8
chicago,mistral:7b,21,975,pm_rush,medium,A,,"['Near North Side (segment 1289, 41.896, -87.640)', 'Near North Side (segment 1223, 41.894, -87.647)']","['exact_sensor', 'exact_sensor']","[1, 1]",1.0,0.25,0.4,0.0,1.0,2,8
chicago,mistral:7b,21,975,pm_rush,medium,B,,['DuSable Lake Shore Drive'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,28,847,pm_rush,medium,A,,"['Near North Side', 'Ashburn/Auburn Gresham']","['exact_region', 'fuzzy']","[55, 23]",1.0,0.25,0.4,0.0,,2,8
chicago,mistral:7b,28,847,pm_rush,medium,B,,"['I-90 Kennedy Expressway', 'I-94 Dan Ryan Expressway', 'I-55 Stevenson Expressway']","['unresolved', 'unresolved', 'unresolved']","[0, 0, 0]",0.0,0.0,0.0,1.0,0.0,3,8
chicago,mistral:7b,26,591,pm_rush,medium,A,,"['SW of the Loop (segment 1132, 41.829, -87.744)', 'Garfield Ridge / Clearing (segment 571, 41.818, -87.743)', 'SW of the Loop (segment 1125, 41.829, -87.743)']","['exact_sensor', 'exact_sensor', 'exact_sensor']","[1, 1, 1]",1.0,0.375,0.5454545454545454,0.0,0.0,3,8
chicago,mistral:7b,26,591,pm_rush,medium,B,,['I-290 (Eisenhower Expy)'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,20,975,pm_rush,medium,A,,"['Near West Side', 'Far South Side']","['exact_region', 'exact_region']","[37, 129]",1.0,0.5,0.6666666666666666,0.0,0.16666666666666666,2,8
chicago,mistral:7b,20,975,pm_rush,medium,B,,"['DuSable Lake Shore Drive', 'Soldier Field and North Ave Beach']","['unresolved', 'unresolved']","[0, 0]",0.0,0.0,0.0,1.0,0.0,2,8
chicago,mistral:7b,9,492,pm_rush,high,A,,"[""Northwest Side / O'Hare corridor (segment 526, 41.993, -87.758) (node_id 489)"", ""Northwest Side / O'Hare corridor (segment 530, 41.993, -87.758) (node_id 493)"", ""Northwest Side / O'Hare corridor (segment 528, 42.001, -87.774) (node_id 491)"", ""Northwest Side / O'Hare corridor (segment 525, 41.997, -87.766) (node_id 488)""]","['exact_sensor', 'exact_sensor', 'exact_sensor', 'exact_sensor']","[1, 1, 1, 1]",1.0,0.5,0.6666666666666666,0.0,1.0,4,8
chicago,mistral:7b,9,492,pm_rush,high,B,,['Circle Interchange'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,12,492,pm_rush,high,A,,"[""Northwest Side / O'Hare corridor (segment 526, 41.993, -87.758) (node_id 489)"", ""Northwest Side / O'Hare corridor (segment 530, 41.993, -87.758) (node_id 493)"", ""Northwest Side / O'Hare corridor (segment 528, 42.001, -87.774) (node_id 491)""]","['exact_sensor', 'exact_sensor', 'exact_sensor']","[1, 1, 1]",1.0,0.375,0.5454545454545454,0.0,0.0,3,8
chicago,mistral:7b,12,492,pm_rush,high,B,,['Circle Interchange'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,5,819,pm_rush,high,A,,"['Far South Side', 'West Side / Garfield Park']","['exact_region', 'exact_region']","[129, 38]",1.0,0.625,0.7692307692307693,0.0,1.0,2,8
chicago,mistral:7b,5,819,pm_rush,high,B,,['DuSable Lake Shore Drive'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.0,1,8
chicago,mistral:7b,35,755,pm_rush,high,A,,"['Far South Side', 'West Side / Garfield Park']","['exact_region', 'exact_region']","[129, 38]",1.0,0.375,0.5454545454545454,0.0,1.0,2,8
chicago,mistral:7b,35,755,pm_rush,high,B,,['DuSable Lake Shore Drive'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.3333333333333333,1,8
chicago,mistral:7b,29,819,pm_rush,high,A,,"['West Side / Garfield Park', 'Ashburn / Auburn Gresham']","['exact_region', 'exact_region']","[38, 23]",1.0,0.25,0.4,0.0,1.0,2,8
chicago,mistral:7b,29,819,pm_rush,high,B,,['DuSable Lake Shore Drive'],['unresolved'],[0],0.0,0.0,0.0,1.0,0.5,1,8
